Pueblo,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017
SAN LUIS DE GACENO,343.02211189297907,338.6649423192534,341.7598212552458,329.09754286369304,328.2134621807437,319.86898134869614,304.5031579806749,295.45356016668,292.9564199920338,258.697,255.087,248.783
SANTA MARIA,266.35836487744336,267.65988830282345,274.37851535836177,268.4897424759541,262.65771175923055,254.49925224945704,258.8027908780639,269.4224418243872,255.17129227427864,155.003,152.058,146.974
CAMPOHERMOSO,276.0570006913242,253.18936349899306,253.99809700945352,257.96882838309375,260.01747693081194,262.11760983993884,265.74940250097234,262.00177002676946,264.0804511186427,134.381,126.876,124.195
MACANAL,201.2078101800757,189.84451315925412,178.36371052264766,173.5085800681864,178.519146845108,173.92581784161666,176.88733070897135,175.4082983983247,169.82479227581547,71.0132,61.7092,66.2487
GARAGOA,232.51748194547304,223.7868608333705,222.87901199080977,212.12694240450082,213.7199201632931,214.31808225114852,194.2406232923304,202.68213272863613,196.4489443904378,57.0236,55.5153,55.4141
SOMONDOCO,94.81222236361774,99.60497573851491,92.34052178642911,98.37864765045444,90.33508068365568,92.02202059615956,81.49650847780478,86.98576156899034,80.41426113437345,45.3174,46.5176,49.317
CHIVOR,87.11082757853097,93.1341038793284,82.94691270252851,84.77072000675788,84.59635171211792,76.07476050880088,87.98879320646938,81.41502344083786,89.23250696462823,46.6046,49.1308,45.7622
CHINAVITA,101.6326922524896,99.70545803330695,94.24338583921678,90.18803137301154,86.63325945522175,85.49668102225927,83.81690264575366,76.34854783829232,74.54504154044817,48.534,47.9692,43.9487
ALMEIDA,78.0697698211551,74.51748051692175,69.55484210243505,73.558169172764,68.73898718442429,64.1415328180833,65.39497264040266,60.07815706468686,60.466088679127,38.6207,40.4832,38.0271
GUAYATA,121.1432962293511,102.45731842316069,104.75604809092663,99.14906802954138,92.73700665191991,87.81886333481184,87.02861601267712,74.39922314363939,79.99056008397213,43.6428,38.6618,34.8
RAMIRIQUI,44.22044903156176,42.23685957385447,42.49740204495147,39.991373474202476,39.85812306278904,39.09951655390891,37.82334594703879,38.679181922783606,39.96374838890946,28.4239,24.9935,25.9913
UMBITA,111.09321281369334,123.72425575689283,112.9126080506635,86.7783027248182,94.89869439749266,100.0803664620983,91.04543549230696,86.15103635985452,81.29608794217965,24.2934,21.3017,19.8803
TIBANA,22.14615767721068,23.539618585700488,23.62626923320533,22.999007417729267,21.659788333369836,19.16030967288234,27.58965503800025,18.890137397585193,20.569056644316593,16.8985,15.4973,16.446
PACHAVITA,37.139966787012604,31.467920297552478,30.46322696787417,28.860095321460726,29.081928876483943,26.998804681342847,23.00160929415393,21.380470165317316,20.77597760880197,12.1713,12.5265,14.6144
VENTAQUEMADA,24.69501532563715,20.184395838905,21.19999991415211,22.561391508475033,18.47689357973427,18.208251727957098,19.635715861125295,19.3807753900803,16.33756085393375,12.4296,10.5773,10.3559
VIRACACHA,11.140032669227319,9.183503522939855,8.458093824866978,9.518868695668479,8.768210069622235,8.97392599590661,9.180190315196743,6.869924830487816,7.117250076083961,8.39635,7.49355,7.94497
LA CAPILLA,33.74170953036603,29.719774065747632,37.23220899603231,21.978108651852413,22.6882787311696,33.15984153684603,23.134437640967363,30.251081247344537,31.414559599674092,6.86237,7.47851,6.68371
CIENEGA,7.709993675087961,11.87643146988795,9.87030601200812,11.558910961034037,11.961148608046157,11.901070318834362,13.070487467972386,11.99186278960949,10.80978869751954,8.48746,6.77213,6.22137
NUEVO COLON,10.193460775979835,10.397105099885493,12.232207121926148,10.397308315199293,8.76630220665052,7.746929033677362,11.009031568692157,10.193505934938456,8.154149943050747,6.68775,5.63342,5.80192
TENZA,21.20227340449372,32.96786447119232,26.65584044458691,31.541086591509053,24.899767541958745,29.053505997888777,24.862084080689762,25.759611468705614,20.477965998975087,6.9554,6.08638,5.6893
TURMEQUE,20.27151673605282,9.90973905611824,14.595621357788442,17.028045323210943,8.108606694421127,7.297819658604666,10.48093843754369,10.547208700629994,9.73050403563008,5.09372,4.3752,4.19965
JENESANO,8.909649166406208,10.175895316978005,4.507498173352978,7.293715605630769,1.502427839565726,1.502532670909256,1.79755802341511,1.502544318836315,5.058178884905643,2.20427,1.80838,2.24898
BOYACA,4.098551045343623,1.756526509127612,4.09856401648859,2.92754202002186,4.684100957011889,1.756494081265195,2.342031021788494,3.513091931690125,3.513098417262609,1.52041,1.89585,1.71617
SUTATENZA,4.127857925726105,4.913201353135219,5.366703423502682,6.189619250170393,3.31332363427762,4.293031973236022,3.441824451058204,3.832657686252029,3.651780302641724,1.55164,1.50141,1.44682
GUATEQUE,8.95306614767971,9.208825966530979,7.418025844301899,6.139255067120276,5.80635953673769,4.691374719723886,5.116017572192179,5.080111521449996,3.836963624263378,0.611224,0.361325,0.541988
